"Something went wrong while collecting the order price summary.","Something went wrong while collecting the order price summary."
"Whoops, our bad... the step you requested was not found.","Whoops, our bad... the step you requested was not found."
"Place Order","Place Order"
"Back to %1","Back to %1"
"Proceed to %1","Proceed to %1"
"No shipping method selected","No shipping method selected"
"No checkout steps found","No checkout steps found"
"No checkout steps found (customer ID: %1)","No checkout steps found (customer ID: %1)"
"You must login or register to activate an address.","You must login or register to activate an address."
"The billing address is locked by the shipping address.","The billing address is locked by the shipping address."
"This address does not belong to you. Please try again","This address does not belong to you. Please try again"
"Something went wrong while activating the address.","Something went wrong while activating the address."
"None of the given checkout types were found","None of the given checkout types were found"
"A form modifier with name ""%1"" already exists","A form modifier with name ""%1"" already exists"
"Element renderer for "%1" not found in ""%2""","Element renderer for "%1" not found in ""%2"""
"No %1 found for element %2","No %1 found for element %2"
"It looks like you selected a country which is not available (%1). Please select a different country from the available options.","It looks like you selected a country which is not available (%1). Please select a different country from the available options."
"Current step not found or does not exist.","Current step not found or does not exist."
"Step %1 can not be set as the current step","Step %1 can not be set as the current step"
"%1 address could not be found.","%1 address could not be found."
"%1 address can not be shown due to a technical malfunction.","%1 address can not be shown due to a technical malfunction."
"Renderer by code %1 does not exist","Renderer by code %1 does not exist"
"Address can not be shown due to a technical malfunction.","Address can not be shown due to a technical malfunction."
"Hide items","Hide items"
"Show items","Show items"
"Processing...","Processing..."
"Cancel Coupon","Cancel Coupon"
"Something went wrong while during checkout initialization. Please refresh the page.","Something went wrong while during checkout initialization. Please refresh the page."
"Read Terms &amp; Conditions","Read Terms &amp; Conditions"
"Something went wrong while collecting the order price summary.","Something went wrong while collecting the order price summary."
"You've reached the maximum amount of characters","You've reached the maximum amount of characters"
"saved successfully","saved successfully"
"saving","saving"
"Accept Terms","Accept Terms"
"Deny Terms","Deny Terms"
"No shipping method selected.","No shipping method selected."
"Unknown","Unknown"
"Order process completed successfully.","Order process completed successfully."
"You are being redirected, please wait...","You are being redirected, please wait..."
"If no email tooltip was manually configured, the field will fallback using the original ""We'll send your order confirmation here"" Luma Checkout text as its tooltip description.","If no email tooltip was manually configured, the field will fallback using the original ""We'll send your order confirmation here"" Luma Checkout text as its tooltip description."
"If no telephone tooltip was manually configured, the field will fallback using the original ""For delivery questions"" Luma Checkout text as its tooltip description.","If no telephone tooltip was manually configured, the field will fallback using the original ""For delivery questions"" Luma Checkout text as its tooltip description."
"Switching country","Switching country"
"Saving shipping method","Saving shipping method"
"Saving method","Saving method"
"Processing your order","Processing your order"
"The payment method is missing. Select the payment method and try again.","The payment method is missing. Select the payment method and try again."
"Please accept all terms & conditions","Please accept all terms & conditions"
"No shipping methods available.","No shipping methods available."
"Purchase order number is a required field.","Purchase order number is a required field."
"Something went wrong while trying to fetch the available shipping methods.","Something went wrong while trying to fetch the available shipping methods."
"Previous selected shipping method is no longer available. Please select a different shipping method and try again.","Previous selected shipping method is no longer available. Please select a different shipping method and try again."
