"Something went wrong while collecting the order price summary.","Er is iets misgegaan bij het verzamelen van de prijssamenvatting van de bestelling."
"Whoops, our bad... the step you requested was not found.","Oeps, onze fout... de stap die je hebt opgevraagd is niet gevonden."
"Place Order","Bestelling plaatsen"
"Back to %1","Terug naar %1"
"Proceed to %1","Ga door naar %1"
"No shipping method selected","Geen verzendmethode geselecteerd"
"No checkout steps found","Geen afrekenstappen gevonden"
"No checkout steps found (customer ID: %1)","Geen afrekenstappen gevonden (klant ID: %1)"
"You must login or register to activate an address.","Je moet inloggen of registreren om een adres te activeren."
"The billing address is locked by the shipping address.","Het factuuradres wordt vergrendeld door het afleveradres."
"This address does not belong to you. Please try again","Dit adres behoort niet tot jou. Probeer het opnieuw"
"Something went wrong while activating the address.","Er is iets misgegaan bij het activeren van het adres."
"None of the given checkout types were found","Geen van de opgegeven afrekentypes is gevonden"
"A form modifier with name ""%1"" already exists","Een form modifier met de naam ""%1"" bestaat al"
"Element renderer for "%1" not found in ""%2""","Element renderer voor "%1" niet gevonden in ""%2"""
"No %1 found for element %2","Geen %1 gevonden voor element %2"
"It looks like you selected a country which is not available (%1). Please select a different country from the available options.","Het lijkt erop dat je een land hebt geselecteerd dat niet beschikbaar is (%1). Kies een ander land uit de beschikbare opties."
"Current step not found or does not exist.","Huidige stap niet gevonden of bestaat niet."
"Step %1 can not be set as the current step","Stap %1 kan niet worden ingesteld als de huidige stap"
"%1 address could not be found.","%1 adres kon niet worden gevonden."
"%1 address can not be shown due to a technical malfunction.","%1 adres kan niet worden weergegeven vanwege een technische storing."
"Renderer by code %1 does not exist","Renderer met code %1 bestaat niet"
"Address can not be shown due to a technical malfunction.","Adres kan niet worden getoond vanwege een technische storing."
"Hide items","Items verbergen"
"Show items","Items tonen"
"Processing...","Verwerken..."
"Cancel Coupon","Coupon annuleren"
"Something went wrong while during checkout initialization. Please refresh the page.","Er is iets misgegaan tijdens de initialisatie van het afrekenen. Vernieuw de pagina."
"Read Terms &amp; Conditions","Lees de Algemene Voorwaarden"
"You've reached the maximum amount of characters","Je hebt het maximale aantal tekens bereikt"
"saved successfully","succesvol opgeslagen"
"saving","opslaan"
"Accept Terms","Voorwaarden accepteren"
"Deny Terms","Voorwaarden weigeren"
"No shipping method selected.","Geen verzendmethode geselecteerd."
"Unknown","Onbekend"
"Order process completed successfully.","Bestelproces succesvol afgerond."
"You are being redirected, please wait...","Je wordt doorgestuurd, even geduld a.u.b..."
"If no email tooltip was manually configured, the field will fallback using the original ""We'll send your order confirmation here"" Luma Checkout text as its tooltip description.","Als er geen e-mail tooltip handmatig is geconfigureerd, zal het veld terugvallen op de originele tekst ""We sturen hier je orderbevestiging"" van Luma Checkout als tooltip beschrijving."
"If no telephone tooltip was manually configured, the field will fallback using the original ""For delivery questions"" Luma Checkout text as its tooltip description.","Als er geen telefoon tooltip handmatig is geconfigureerd, zal het veld terugvallen op de originele tekst ""Voor leveringsvragen"" van Luma Checkout als tooltip beschrijving."
"Switching country","Van land wisselen"
"Saving shipping method","Verzendmethode opslaan"
"Saving method","Betaalmethode opslaan"
"Processing your order","Bestelling verwerken"
"The payment method is missing. Select the payment method and try again.","De betaalmethode ontbreekt. Selecteer een betaalmethode en probeer het opnieuw."
"Please accept all terms & conditions","Accepteer alstublieft de algemene voorwaarden"
"No shipping methods available.","Geen verzendmethoden beschikbaar."
"Purchase order number is a required field.","Inkoopordernummer is een verplicht veld.
"Something went wrong while trying to fetch the available shipping methods.","Er is iets misgegaan bij het ophalen van de beschikbare verzendmethoden."
"Previous selected shipping method is no longer available. Please select a different shipping method and try again.","De eerder geselecteerde verzendmethode is niet meer beschikbaar. Selecteer een andere verzendmethode en probeer het opnieuw."
